Understat,Football-data
Deportivo La Coruna,La Coruna
Real Sociedad,Sociedad
Espanyol,Espanol
Atletico Madrid,Ath Madrid
Rayo Vallecano,Vallecano
Athletic Club,Ath Bilbao
Celta Vigo,Celta
Sporting Gijon,Sp Gijon
Real Betis,Betis
Real Valladolid,Valladolid
SD Huesca,Huesca
West Bromwich Albion,West Brom
Newcastle United,Newcastle
Manchester City,Man City
Manchester United,Man United
Queens Park Rangers,QPR
Wolverhampton Wanderers,Wolves
Bayer Leverkusen,Leverkusen
Hamburger SV,Hamburg
Hertha Berlin,Hertha
Mainz 05,Mainz
Hannover 96,Hannover
Borussia Dortmund,Dortmund
Borussia M.Gladbach,Mgladbach
Eintracht Frankfurt,Ein Frankfurt
VfB Stuttgart,Stuttgart
FC Cologne,FC Koln
RasenBallsport Leipzig,RB Leipzig
Nuernberg,Nurnberg
Arminia Bielefeld,Bielefeld
AC Milan,Milan
SPAL 2013,Spal
Parma Calcio 1913,Parma
Paris Saint Germain,Paris SG
SC Bastia,Bastia
Saint-Etienne,St Etienne
GFC Ajaccio,Ajaccio GFCO
Clermont Foot,Clermont
FC Ufa,Ufa
FC Rostov,FK Rostov
FK Akhmat,Akhmat Grozny
Zenit St. Petersburg,Zenit
Mordovya,M Saransk
FC Krasnodar,Krasnodar
Kuban Krasnodar,Kuban
Torpedo Moscow,T Moscow
Anzhi Makhachkala,FK Anzi Makhackala
Krylya Sovetov Samara,FK Krylya Sovetov Samara
FC Orenburg,Orenburg
Tom Tomsk,Tomsk
SKA-Khabarovsk,SKA Khabarovsk
FC Yenisey Krasnoyarsk,Yenisey
PFC Sochi,Sochi
FC Tambov,Tambov
FC Rotor Volgograd,R Volgograd
Dinamo Moscow,Dynamo Moscow
Fortuna Duesseldorf,Fortuna Dusseldorf
Greuther Fuerth,Greuther Furth
